Charles,Kaleidoscope,Net News,Versions
7,0,0,3
2,2,3,5
0,6,23,2
3,21,6,1
1,4,11,1
1,4,12,0
6,6,7,1
1,2,1,3
2,0,33,7
5,0,17,3
1,0,4,4
2,1,5,1
2,2,3,1
2,8,6,2
3,0,1,4
10,21,8,5
1,--,3,3
3,--,6,5
3,--,2,8
4,--,--,5
3,--,--,17
1,--,--,1
4,--,--,5
4,--,--,9
7,--,--,10
1,--,--,7
6,--,--,1
3,--,--,0
5,--,--,0
2,--,--,0
11,--,--,3
2,--,--,0
8,--,--,1
3,--,--,1
3,--,--,3
4,--,--,0
1,--,--,7
11,--,--,--
8,--,--,--
4,--,--,--
5,--,--,--
2,--,--,--
2,--,--,--
1,--,--,--
11,--,--,--
1,--,--,--
2,--,--,--
0,--,--,--
