Afterlight,CNN,Credit Karma,Dictionary com,Facebook Messenger,Heads Up,Instagram,Instapaper,Lumosity,New Words with Friends,Pandora,Run Keeper,Sleep Cycle,Songza,Wish,Youtube
0,0,0,0,0,0,1,1,0,0,2,1,0,1,1,0
0,1,3,1,1,2,5,1,0,0,2,0,0,1,0,1
1,0,4,0,1,0,1,1,1,0,0,1,0,0,1,0
1,1,1,1,0,1,1,3,1,1,0,1,1,1,0,0
1,0,1,1,1,0,1,1,1,1,1,0,3,1,0,0
2,1,1,1,1,1,0,1,1,3,1,0,8,0,1,1
0,0,2,0,0,0,1,1,0,1,0,1,0,1,1,0
0,1,0,1,0,2,1,1,2,1,1,1,4,1,0,1
0,1,0,2,0,0,1,1,0,1,1,1,0,0,0,0
0,1,0,1,0,1,1,1,0,1,1,1,5,0,0,0
0,1,0,1,1,0,0,1,0,1,1,0,3,2,0,1
1,1,1,1,0,0,1,3,1,--,1,1,2,0,1,0
0,2,1,1,1,1,5,1,1,--,1,0,1,1,0,1
0,1,1,2,0,--,1,2,0,--,0,1,0,2,1,1
0,0,--,0,0,--,1,1,0,--,1,1,4,1,1,1
1,1,--,1,0,--,1,1,0,--,1,0,1,1,1,0
1,2,--,0,1,--,5,3,1,--,1,1,--,1,1,1
2,1,--,1,1,--,1,1,0,--,1,1,--,1,1,1
0,1,--,1,0,--,0,4,1,--,1,0,--,0,1,1
0,1,--,2,0,--,1,1,0,--,1,1,--,0,1,1
--,1,--,1,0,--,1,1,1,--,1,1,--,1,1,1
--,0,--,1,0,--,8,1,1,--,1,1,--,0,1,2
--,0,--,1,0,--,0,3,1,--,1,1,--,1,1,0
--,1,--,--,0,--,1,0,0,--,1,0,--,0,1,0
--,0,--,--,1,--,1,3,1,--,1,1,--,1,1,--
