Afterlight,CNN,Credit Karma,Dictionary com,Facebook Messenger,Heads Up,Instagram,Instapaper,Lumosity,New Words with Friends,Pandora,Run Keeper,Sleep Cycle,Songza,Wish,Youtube
0,0,0,0,1,0,0,0,2,0,0,0,0,1,2,0
5,0,0,0,1,1,0,0,2,3,0,0,0,0,6,0
4,0,0,7,1,3,0,4,0,1,0,0,1,0,3,4
4,0,0,1,0,1,0,2,0,0,6,0,1,0,0,2
6,1,0,0,0,2,0,4,0,0,0,5,0,0,3,3
4,0,2,0,0,1,0,4,0,0,8,2,8,5,0,2
8,1,2,4,2,0,0,1,1,0,7,0,0,4,2,2
7,0,0,1,3,0,0,1,0,0,8,0,14,2,1,0
0,0,2,2,3,1,0,2,3,0,0,1,4,2,1,1
3,0,0,0,2,1,0,1,0,0,0,0,8,1,1,2
0,2,0,0,2,1,0,1,1,1,3,3,0,0,1,0
4,0,0,0,2,0,0,1,0,--,1,0,0,0,1,3
3,4,0,2,0,1,0,1,0,--,1,5,0,1,0,0
5,0,0,0,1,--,5,1,0,--,0,0,1,0,0,0
3,0,--,3,1,--,5,2,0,--,0,0,1,0,0,0
4,0,--,0,1,--,0,3,1,--,2,1,1,0,0,0
0,1,--,2,0,--,0,0,1,--,3,0,--,1,0,0
3,0,--,0,1,--,0,0,0,--,0,0,--,0,1,0
0,0,--,1,0,--,0,0,0,--,3,1,--,1,1,0
3,0,--,1,0,--,0,0,0,--,0,0,--,1,0,0
--,0,--,2,0,--,0,2,0,--,0,0,--,0,0,0
--,0,--,0,1,--,0,2,0,--,0,0,--,0,0,0
--,0,--,0,1,--,0,0,0,--,0,0,--,0,0,0
--,0,--,--,1,--,0,3,1,--,0,3,--,1,0,1
--,0,--,--,0,--,0,3,0,--,0,5,--,0,0,--
