Afterlight,CNN,Credit Karma,Dictionary com,Facebook Messenger,Heads Up,Instagram,Instapaper,Lumosity,New Words with Friends,Pandora,Run Keeper,Sleep Cycle,Songza,Wish,Youtube
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0
0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0
0,0,--,1,0,--,0,0,0,--,0,0,0,0,0,0
0,0,--,0,0,--,0,0,1,--,0,0,0,0,0,0
0,0,--,0,0,--,0,0,0,--,0,0,--,0,0,0
0,0,--,1,0,--,0,0,0,--,0,0,--,0,0,0
0,0,--,1,0,--,0,0,0,--,0,0,--,0,0,0
0,0,--,3,0,--,0,0,0,--,0,0,--,0,0,0
--,0,--,0,0,--,0,0,0,--,0,0,--,0,0,0
--,0,--,1,0,--,0,0,0,--,0,0,--,0,0,0
--,0,--,0,0,--,0,0,0,--,0,0,--,0,0,0
--,0,--,--,0,--,0,0,0,--,0,0,--,0,0,0
--,0,--,--,0,--,0,0,0,--,0,0,--,0,0,--
