Afterlight,CNN,Credit Karma,Dictionary com,Facebook Messenger,Heads Up,Instagram,Instapaper,Lumosity,New Words with Friends,Pandora,Run Keeper,Sleep Cycle,Songza,Wish,Youtube
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,8,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,--,0,0,1,0,1,0
0,0,0,0,0,0,0,2,0,--,0,0,1,0,0,0
0,0,0,0,0,--,0,1,0,--,0,0,0,0,2,0
0,0,--,0,0,--,0,0,0,--,0,0,0,0,0,0
0,0,--,0,0,--,0,1,0,--,0,1,0,0,1,0
0,0,--,0,0,--,0,0,1,--,0,0,--,0,0,0
0,0,--,0,0,--,0,0,0,--,0,0,--,0,0,0
0,0,--,0,0,--,0,0,0,--,0,0,--,0,0,0
0,0,--,0,0,--,0,0,0,--,0,0,--,0,0,0
--,0,--,0,0,--,0,0,0,--,0,0,--,0,0,0
--,0,--,0,0,--,0,2,0,--,0,0,--,1,0,0
--,0,--,1,0,--,0,0,0,--,0,0,--,0,0,0
--,0,--,--,0,--,0,1,0,--,0,5,--,1,0,0
--,0,--,--,0,--,0,0,0,--,0,5,--,0,0,--
