Bastion,Covenant EyesD,CreativeCloudD,DashlaneD,Raptr - D,SplashIDD,SpotifyD
3,1,1,0,10,0,6
3,0,2,1,1,3,2
3,0,1,0,8,1,1
1,0,3,0,1,2,1
2,1,4,1,1,1,3
4,3,11,2,2,1,1
2,1,2,3,3,3,3
1,3,3,0,1,1,1
2,1,1,0,6,2,1
1,2,2,0,1,2,0
2,3,1,1,1,2,2
--,3,1,2,1,1,--
--,1,1,1,1,3,--
--,0,3,1,2,--,--
--,2,1,1,5,--,--
--,0,1,0,4,--,--
--,3,--,0,1,--,--
--,1,--,--,2,--,--
--,1,--,--,1,--,--
--,2,--,--,1,--,--
--,1,--,--,1,--,--
--,0,--,--,1,--,--
--,3,--,--,0,--,--
--,4,--,--,1,--,--
--,--,--,--,2,--,--
--,--,--,--,3,--,--
--,--,--,--,1,--,--
--,--,--,--,2,--,--
--,--,--,--,0,--,--
--,--,--,--,1,--,--
--,--,--,--,1,--,--
--,--,--,--,0,--,--
--,--,--,--,1,--,--
--,--,--,--,1,--,--
--,--,--,--,0,--,--
--,--,--,--,1,--,--
--,--,--,--,0,--,--
--,--,--,--,1,--,--
--,--,--,--,1,--,--
--,--,--,--,0,--,--
--,--,--,--,1,--,--
--,--,--,--,0,--,--
--,--,--,--,2,--,--
