Bastion,Covenant EyesD,CreativeCloudD,DashlaneD,Raptr - D,SplashIDD,SpotifyD
0,4,1,2,1,0,1
0,1,1,2,0,0,0
9,1,0,2,4,1,0
0,2,0,5,1,0,0
7,2,2,7,0,0,2
0,3,6,2,3,0,0
4,3,0,2,0,0,8
0,7,3,0,0,0,0
1,1,2,0,2,2,0
0,0,0,1,0,1,1
0,2,6,2,0,1,0
--,0,0,0,0,0,--
--,1,6,2,6,1,--
--,4,7,4,1,--,--
--,9,1,5,0,--,--
--,2,3,1,0,--,--
--,2,--,2,5,--,--
--,0,--,--,1,--,--
--,0,--,--,0,--,--
--,1,--,--,0,--,--
--,1,--,--,0,--,--
--,7,--,--,1,--,--
--,3,--,--,0,--,--
--,10,--,--,0,--,--
--,--,--,--,1,--,--
--,--,--,--,0,--,--
--,--,--,--,0,--,--
--,--,--,--,1,--,--
--,--,--,--,2,--,--
--,--,--,--,0,--,--
--,--,--,--,1,--,--
--,--,--,--,1,--,--
--,--,--,--,0,--,--
--,--,--,--,0,--,--
--,--,--,--,1,--,--
--,--,--,--,0,--,--
--,--,--,--,12,--,--
--,--,--,--,0,--,--
--,--,--,--,9,--,--
--,--,--,--,0,--,--
--,--,--,--,0,--,--
--,--,--,--,1,--,--
--,--,--,--,0,--,--
