Bastion,Covenant EyesD,CreativeCloudD,DashlaneD,Raptr - D,SplashIDD,SpotifyD
2,1,0,1,2,1,7
2,1,1,1,0,0,1
15,1,0,2,3,0,1
4,1,0,0,0,0,1
11,1,0,3,0,0,2
13,1,0,0,2,0,1
9,4,0,0,0,0,10
3,3,0,1,0,0,3
1,1,0,1,1,0,2
3,0,0,0,0,1,3
1,1,0,0,0,0,3
--,0,0,0,0,0,--
--,0,0,0,2,0,--
--,0,0,1,0,--,--
--,6,0,1,1,--,--
--,0,2,0,1,--,--
--,0,--,0,1,--,--
--,0,--,--,0,--,--
--,0,--,--,0,--,--
--,0,--,--,0,--,--
--,0,--,--,0,--,--
--,2,--,--,0,--,--
--,0,--,--,0,--,--
--,1,--,--,0,--,--
--,--,--,--,0,--,--
--,--,--,--,0,--,--
--,--,--,--,0,--,--
--,--,--,--,0,--,--
--,--,--,--,0,--,--
--,--,--,--,0,--,--
--,--,--,--,0,--,--
--,--,--,--,0,--,--
--,--,--,--,0,--,--
--,--,--,--,1,--,--
--,--,--,--,0,--,--
--,--,--,--,0,--,--
--,--,--,--,3,--,--
--,--,--,--,0,--,--
--,--,--,--,5,--,--
--,--,--,--,0,--,--
--,--,--,--,0,--,--
--,--,--,--,2,--,--
--,--,--,--,0,--,--
