Bastion,BastionM,Covenant EyesD,Covenant EyesM,CreativeCloudD,CreativeCloudM,DashlaneD,DashlaneM,Raptr - D,RaptrM,SplashIDD,SplashM,SpotifyD,SpotifyM
1,0,1,0,0,0,1,0,2,0,1,1,1,0
1,0,1,0,0,1,1,0,0,1,0,0,1,1
2,0,1,0,0,0,0,0,2,0,0,0,1,1
1,--,1,0,0,0,0,0,0,6,0,0,1,2
2,--,1,0,0,--,2,0,0,0,0,0,1,1
1,--,1,0,0,--,0,0,2,1,0,0,1,1
3,--,3,0,0,--,0,1,0,0,0,0,3,1
1,--,3,0,0,--,0,0,0,0,0,0,1,1
1,--,0,0,0,--,0,0,1,0,0,0,1,1
3,--,0,0,0,--,0,0,0,0,0,0,1,1
1,--,0,--,0,--,0,0,0,0,0,0,1,2
--,--,0,--,0,--,0,0,0,0,0,0,--,2
--,--,0,--,0,--,0,0,6299,1,0,0,--,3
--,--,0,--,0,--,1,0,0,0,--,0,--,3
--,--,2,--,0,--,1,0,0,2,--,0,--,2
--,--,0,--,1,--,0,0,0,0,--,1,--,4
--,--,0,--,--,--,0,0,1,0,--,--,--,4
--,--,0,--,--,--,--,0,0,0,--,--,--,2
--,--,0,--,--,--,--,0,0,0,--,--,--,3
--,--,0,--,--,--,--,0,0,0,--,--,--,2
--,--,0,--,--,--,--,1,0,0,--,--,--,2
--,--,0,--,--,--,--,1,0,0,--,--,--,--
--,--,0,--,--,--,--,0,0,0,--,--,--,--
--,--,1,--,--,--,--,0,0,0,--,--,--,--
--,--,--,--,--,--,--,0,0,0,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,3,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,4,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
