Bastion,BastionM,Covenant EyesD,Covenant EyesM,CreativeCloudD,CreativeCloudM,DashlaneD,DashlaneM,Raptr - D,RaptrM,SplashIDD,SplashM,SpotifyD,SpotifyM
0,0,0,0,0,0,0,0,0,0,0,0,6,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,2,0,1,1,0,0,0,0
1,--,0,0,0,0,0,0,0,0,0,0,0,1
8,--,0,0,0,--,1,0,0,0,0,0,1,1
11,--,0,0,0,--,0,0,0,0,0,1,0,2
5,--,1,0,0,--,0,1,0,1,0,0,4,2
1,--,0,0,0,--,1,0,0,0,0,0,1,1
0,--,1,0,0,--,1,0,0,0,0,1,0,2
0,--,0,0,0,--,0,0,0,0,1,0,1,0
0,--,1,--,0,--,0,0,0,0,0,0,1,1
--,--,0,--,0,--,0,0,0,1,0,0,--,1
--,--,0,--,0,--,0,0,0,0,0,0,--,2
--,--,0,--,0,--,0,0,0,0,--,0,--,1
--,--,4,--,0,--,0,0,0,2,--,0,--,1
--,--,0,--,1,--,0,0,0,0,--,0,--,1
--,--,0,--,--,--,0,0,0,0,--,--,--,1
--,--,0,--,--,--,--,0,0,0,--,--,--,3
--,--,0,--,--,--,--,0,0,0,--,--,--,2
--,--,0,--,--,--,--,0,0,0,--,--,--,2
--,--,0,--,--,--,--,0,0,0,--,--,--,1
--,--,1,--,--,--,--,0,0,0,--,--,--,--
--,--,0,--,--,--,--,0,0,0,--,--,--,--
--,--,0,--,--,--,--,0,0,0,--,--,--,--
--,--,--,--,--,--,--,0,0,0,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,1,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,1,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
--,--,--,--,--,--,--,--,2,--,--,--,--,--
--,--,--,--,--,--,--,--,0,--,--,--,--,--
